Date,Close
11/20/2019,1745.53
11/21/2019,1734.71
11/22/2019,1745.72
11/25/2019,1773.84
11/26/2019,1796.94
11/27/2019,1818.51
11/29/2019,1800.8
12/2/2019,1781.6
12/3/2019,1769.96
12/4/2019,1760.69
12/5/2019,1740.48
12/6/2019,1751.6
12/9/2019,1749.51
12/10/2019,1739.21
12/11/2019,1748.72
12/12/2019,1760.33
12/13/2019,1760.94
12/16/2019,1769.21
12/17/2019,1790.66
12/18/2019,1784.03
12/19/2019,1792.28
12/20/2019,1786.5
12/23/2019,1793
12/24/2019,1789.21
12/26/2019,1868.77
12/27/2019,1869.8
12/30/2019,1846.89
12/31/2019,1847.84
1/2/2020,1898.01
1/3/2020,1874.97
1/6/2020,1902.88
1/7/2020,1906.86
1/8/2020,1891.97
1/9/2020,1901.05
1/10/2020,1883.16
1/13/2020,1891.3
1/14/2020,1869.44
1/15/2020,1862.02
1/16/2020,1877.94
1/17/2020,1864.72
1/21/2020,1892
1/22/2020,1887.46
1/23/2020,1884.58
1/24/2020,1861.64
1/27/2020,1828.34
1/28/2020,1853.25
1/29/2020,1858
1/30/2020,1870.68
1/31/2020,2008.72
2/3/2020,2004.2
2/4/2020,2049.67
2/5/2020,2039.87
2/6/2020,2050.23
2/7/2020,2079.28
2/10/2020,2133.91
2/11/2020,2150.8
2/12/2020,2160
2/13/2020,2149.87
2/14/2020,2134.87
2/18/2020,2155.67
2/19/2020,2170.22
2/20/2020,2153.1
2/21/2020,2095.97
2/24/2020,2009.29
2/25/2020,1972.74
2/26/2020,1979.59
2/27/2020,1884.3
2/28/2020,1883.75
3/2/2020,1953.95
3/3/2020,1908.99
3/4/2020,1975.83
3/5/2020,1924.03
3/6/2020,1901.09
3/9/2020,1800.61
3/10/2020,1891.82
3/11/2020,1820.86
3/12/2020,1676.61
3/13/2020,1785
3/16/2020,1689.15
3/17/2020,1807.84
3/18/2020,1830
3/19/2020,1880.93
3/20/2020,1846.09
3/23/2020,1902.83
3/24/2020,1940.1
3/25/2020,1885.84
3/26/2020,1955.49
3/27/2020,1900.1
3/30/2020,1963.95
3/31/2020,1949.72
4/1/2020,1907.7
4/2/2020,1918.83
4/3/2020,1906.59
4/6/2020,1997.59
4/7/2020,2011.6
4/8/2020,2043
4/9/2020,2042.76
4/13/2020,2168.87
4/14/2020,2283.32
4/15/2020,2307.68
4/16/2020,2408.19
4/17/2020,2375
4/20/2020,2393.61
4/21/2020,2328.12
4/22/2020,2363.49
4/23/2020,2399.45
4/24/2020,2410.22
4/27/2020,2376
4/28/2020,2314.08
4/29/2020,2372.71
4/30/2020,2474
5/1/2020,2286.04
5/4/2020,2315.99
5/5/2020,2317.8
5/6/2020,2351.26
5/7/2020,2367.61
5/8/2020,2379.61
5/11/2020,2409
5/12/2020,2356.95
5/13/2020,2367.92
5/14/2020,2388.85
5/15/2020,2409.78
5/18/2020,2426.26
5/19/2020,2449.33
5/20/2020,2497.94
5/21/2020,2446.74
5/22/2020,2436.88
5/26/2020,2421.86
5/27/2020,2410.39
5/28/2020,2401.1
5/29/2020,2442.37
6/1/2020,2471.04
6/2/2020,2472.41
6/3/2020,2478.4
6/4/2020,2460.6
6/5/2020,2483
6/8/2020,2524.06
6/9/2020,2600.86
6/10/2020,2647.45
6/11/2020,2557.96
6/12/2020,2545.02
6/15/2020,2572.68
6/16/2020,2615.27
6/17/2020,2640.98
6/18/2020,2653.98
6/19/2020,2675.01
6/22/2020,2713.82
6/23/2020,2764.41
6/24/2020,2734.4
6/25/2020,2754.58
6/26/2020,2692.87
6/29/2020,2680.38
6/30/2020,2758.82
7/1/2020,2878.7
7/2/2020,2890.3
7/6/2020,3057.04
7/7/2020,3000.12
7/8/2020,3081.11
7/9/2020,3182.63
7/10/2020,3200
7/13/2020,3104
7/14/2020,3084
7/15/2020,3008.87
7/16/2020,2999.9
7/17/2020,2961.97
7/20/2020,3196.84
7/21/2020,3138.29
7/22/2020,3099.91
7/23/2020,2986.55
7/24/2020,3008.91
7/27/2020,3055.21
7/28/2020,3000.33
7/29/2020,3033.53
7/30/2020,3051.88
7/31/2020,3164.68
8/3/2020,3111.89
8/4/2020,3138.83
8/5/2020,3205.03
8/6/2020,3225
8/7/2020,3167.46
8/10/2020,3148.16
8/11/2020,3080.67
8/12/2020,3162.24
8/13/2020,3161.02
8/14/2020,3148.02
8/17/2020,3182.41
8/18/2020,3312.49
8/19/2020,3260.48
8/20/2020,3297.37
8/21/2020,3284.72
8/24/2020,3307.46
8/25/2020,3346.49
8/26/2020,3441.85
8/27/2020,3400
8/28/2020,3401.8
8/31/2020,3450.96
9/1/2020,3499.12
9/2/2020,3531.45
9/3/2020,3368
9/4/2020,3294.62
9/8/2020,3149.84
9/9/2020,3268.61
9/10/2020,3175.11
9/11/2020,3116.22
9/14/2020,3102.97
9/15/2020,3156.13
9/16/2020,3078.1
9/17/2020,3008.73
9/18/2020,2954.91
9/21/2020,2960.47
9/22/2020,3128.99
9/23/2020,2999.86
9/24/2020,3019.79
9/25/2020,3095.13
9/28/2020,3174.05
9/29/2020,3144.88
9/30/2020,3148.73
10/1/2020,3221.26
10/2/2020,3125
10/5/2020,3199.2
10/6/2020,3099.96
10/7/2020,3195.69
10/8/2020,3190.55
10/9/2020,3286.65
10/12/2020,3442.93
10/13/2020,3443.63
10/14/2020,3363.71
10/15/2020,3338.65
10/16/2020,3272.71
10/19/2020,3207.21
10/20/2020,3217.01
10/21/2020,3184.94
10/22/2020,3176.4
10/23/2020,3204.4
10/26/2020,3207.04
10/27/2020,3286.33
10/28/2020,3162.78
10/29/2020,3211.01
10/30/2020,3036.15
11/2/2020,3004.48
11/3/2020,3048.41
11/4/2020,3241.16
11/5/2020,3322
11/6/2020,3311.37
11/9/2020,3143.74
11/10/2020,3035.02
11/11/2020,3137.39
11/12/2020,3110.28
11/13/2020,3128.81
11/16/2020,3131.06
11/17/2020,3135.66
11/18/2020,3105.46
11/19/2020,3117.02
11/20/2020,3099.4
11/23/2020,3098.39
11/24/2020,3118.06
11/25/2020,3185.07
11/27/2020,3195.34
11/30/2020,3168.04
12/1/2020,3220.08
12/2/2020,3203.53
12/3/2020,3186.73
12/4/2020,3162.58
12/7/2020,3158
12/8/2020,3177.29
12/9/2020,3104.2
12/10/2020,3101.49
12/11/2020,3116.42
12/14/2020,3156.97
12/15/2020,3165.12
12/16/2020,3240.96
12/17/2020,3236.08
12/18/2020,3201.65
12/21/2020,3206.18
12/22/2020,3206.52
12/23/2020,3185.27
12/24/2020,3172.69
12/28/2020,3283.96
12/29/2020,3322
12/30/2020,3285.85
12/31/2020,3256.93
1/4/2021,3186.63
1/5/2021,3218.51
1/6/2021,3138.38
1/7/2021,3162.16
1/8/2021,3182.7
1/11/2021,3114.21
1/12/2021,3120.83
1/13/2021,3165.89
1/14/2021,3127.47
1/15/2021,3104.25
1/19/2021,3120.76
1/20/2021,3263.38
1/21/2021,3306.99
1/22/2021,3292.23
1/25/2021,3294
1/26/2021,3326.13
1/27/2021,3232.58
1/28/2021,3237.62
1/29/2021,3206.2
2/1/2021,3342.88
2/2/2021,3380
2/3/2021,3312.53
2/4/2021,3331
2/5/2021,3352.15
